10_comment_mixed_line_block | Valid | 
10_compound_parentheses_rhs | NotImplementedYet | 
10_illegal_token | NotImplementedYet | 
10_logic_with_blocks | NotImplementedYet | 
10_nested_counter | NotImplementedYet | 
10_switch_negative_case | NotImplementedYet | 
10_switch_variable_case_label | NotImplementedYet | 
10_unbalanced_parenthesis_rhs | NotImplementedYet | 
11_double_and_start | NotImplementedYet | 
11_minus_equal_missing_lhs | NotImplementedYet | 
11_modulo_even_counter | NotImplementedYet | 
11_plus_equal_parenthesized_expr | NotImplementedYet | 
11_short_circuit_chain_division | NotImplementedYet | 
11_switch_no_body | NotImplementedYet | 
11_switch_only_default | NotImplementedYet | 
12_double_or_start | NotImplementedYet | 
12_minus_equal_nested_expr | NotImplementedYet | 
12_mul_equal_missing_lhs | NotImplementedYet | 
12_or_chain_with_zero_guard | NotImplementedYet | 
12_switch_inside_while | NotImplementedYet | 
12_switch_non_const_expr_case | NotImplementedYet | 
12_with_if_else | NotImplementedYet | 
13_break_outside_switch | NotImplementedYet | 
13_div_equal_missing_lhs | NotImplementedYet | 
13_equality_condition | Valid | 
13_lazy_in_while_guard | NotImplementedYet | 
13_missing_middle_operand_and | NotImplementedYet | 
13_mul_equal_after_if | NotImplementedYet | 
13_switch_grouped_cases | NotImplementedYet | 
14_div_equal_in_while | NotImplementedYet | 
14_greater_equal_condition | Valid | 
14_lazy_if_else_complex | NotImplementedYet | 
14_missing_middle_operand_or | NotImplementedYet | 
14_mod_equal_missing_lhs | NotImplementedYet | 
14_switch_local_var_in_case | NotImplementedYet | 
14_switch_undeclared_var | NotImplementedYet | 
15_compound_on_constant | NotImplementedYet | 
15_math_compare_logic | NotImplementedYet | 
15_mod_equal_chain | NotImplementedYet | 
15_switch_empty_case_label | NotImplementedYet | 
15_switch_putchar | NotImplementedYet | 
15_unclosed_nested_parentheses | NotImplementedYet | 
15_with_parentheses | Valid | 
16_extra_closing_parentheses | NotImplementedYet | 
16_mix_all_compound | NotImplementedYet | 
16_nested_parentheses_complex | NotImplementedYet | 
16_unary_minus_in_body | Valid | 
16_wrong_operator_order | NotImplementedYet | 
17_bad_declaration_init_rhs | NotImplementedYet | 
17_compound_negative_rhs | NotImplementedYet | 
17_double_compound_operator | NotImplementedYet | 
17_multiple_declarations | Valid | 
17_with_unary_and_compare | NotImplementedYet | 
18_assign_from_variable | Valid | 
18_compound_variable_rhs | NotImplementedYet | 
18_if_without_block_with_logic | NotImplementedYet | 
18_invalid_rhs_prefix_op | NotImplementedYet | 
18_left_associativity_and | NotImplementedYet | 
19_complex_arithmetic | Valid | 
19_compound_if_else | NotImplementedYet | 
19_invalid_decl_then_compound | NotImplementedYet | 
19_left_associativity_or | NotImplementedYet | 
19_wrong_operator_mix | NotImplementedYet | 
1_and_guard_division | NotImplementedYet | 
1_and_missing_rhs | NotImplementedYet | 
1_comment_block_unclosed | Invalid | 
1_deux_returns | Valid | 
1_plain_text | Invalid | 
1_plus_equal_basic | NotImplementedYet | 
1_plus_equal_missing_rhs | NotImplementedYet | 
1_return0 | Valid | 
1_switch_basic_default | NotImplementedYet | 
1_switch_duplicate_case | NotImplementedYet | 
1_zero_iteration | Valid | 
20_compound_guarded_div_mod | NotImplementedYet | 
