11_switch_no_body | NotImplementedYet | FAIL (your compiler rejects a valid program)
14_switch_local_var_in_case | NotImplementedYet | FAIL (your compiler rejects a valid program)
bitwise_or | NotImplementedYet | FAIL (your compiler rejects a valid program)
block_var_scope | NotImplementedYet | FAIL (your compiler rejects a valid program)
block_wrong_return_type | NotImplementedYet | FAIL (your compiler rejects a valid program)
func_ext_keyword | NotImplementedYet | FAIL (your compiler rejects a valid program)
func_invalid_return_type | NotImplementedYet | FAIL (your compiler rejects a valid program)
func_no_type | NotImplementedYet | FAIL (your compiler rejects a valid program)
func_return_missing | NotImplementedYet | FAIL (different results at execution)
or_after_if | NotImplementedYet | FAIL (your compiler rejects a valid program)
print_int | NotImplementedYet | FAIL (your compiler rejects a valid program)
priorite | NotImplementedYet | FAIL (your compiler rejects a valid program)
